Country,Language,Numeric Value
Viet Nam,English,0
State of Palestine,English,0
Mexico,English,0
Maldives,English,0
Iran,English,0
Cabo Verde,English,0
Botswana,English,0
Armenia,English,0
Vanuatu,English,8
Marshall Islands,English,41
Cuba,English,44
Ecuador,English,70
Djibouti,English,120
Fiji,English,127
Kyrgyzstan,English,173
Gabon,English,200
Mongolia,English,350
Sao Tome and Principe,English,362
Jordan,English,362
Lebanon,English,452
Oman,English,512
Swaziland,English,1175
Comoros,English,1698
Equatorial Guinea,English,2010
Colombia,English,3347
Bolivia,English,3426
Namibia,English,3758
Guinea-Bissau,English,4025
Syrian Arab Republic,English,4272
Lesotho,English,4394
Lao People's Democratic Republic,English,4734
Philippines,English,5043
Timor-Leste,English,5486
Guatemala,English,6209
Tajikistan,English,9149
Cambodia,English,9870
Iraq,English,10086
Gambia,English,10912
Congo,English,15183
Papua New Guinea,English,17294
Togo,English,18553
South Africa,English,19505
C̫te d'Ivoire,English,22882
Guinea,English,23691
Ghana,English,32292
Zambia,English,32466
Haiti,English,39643
Nepal,English,43552
Democratic People's Republic of Korea,English,55122
Benin,English,55835
United Republic of Tanzania,English,58419
Zimbabwe,English,63152
Liberia,English,64080
Central African Republic,English,65640
Mauritania,English,67685
Uganda,English,67946
Montenegro,English,79567
Indonesia,English,82676
Senegal,English,82750
Sierra Leone,English,88112
Malawi,English,133057
Burundi,English,176552
Kenya,English,200720
Cameroon,English,221476
Angola,English,255429
Burkina Faso,English,287926
Mali,English,393434
Pakistan,English,510668
South Sudan,English,562261
Somalia,English,660273
Sudan,English,695002
Afghanistan,English,776898
Chad,English,783704
Democratic Republic of the Congo,English,896229
Yemen,English,910191
Ethiopia,English,968980
Niger,English,1055223
Nigeria,English,2144790
